,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,2,3,0,0,8,9,0,0,0,4,5,6,7,3,1
1,1,2,4,5,0,3,7,9,8,0,6,0,0,0,4,1
2,1,2,4,5,0,8,9,6,7,0,3,0,0,0,4,1
3,1,2,4,8,0,3,5,6,7,0,9,0,0,0,4,1
4,1,2,5,3,0,4,9,6,0,0,7,8,0,0,4,1
5,1,2,5,6,7,4,8,9,3,0,0,0,0,0,0,0
6,1,2,6,3,0,9,5,4,0,0,7,8,0,0,4,1
7,1,2,6,4,0,5,8,3,7,0,9,0,0,0,4,1
8,1,2,6,8,7,5,3,4,9,0,0,0,0,0,0,0
9,1,2,6,9,0,7,8,5,3,0,4,0,0,0,4,1
10,1,2,7,8,0,3,5,4,6,0,9,0,0,0,4,1
11,1,2,7,8,0,9,6,5,3,0,4,0,0,0,4,1
12,1,2,8,0,0,3,7,5,0,0,4,6,9,0,3,1
13,1,2,8,0,0,7,3,5,0,0,4,6,9,0,3,1
14,1,2,8,3,0,6,7,4,0,0,5,9,0,0,4,1
15,1,2,8,4,0,9,5,6,3,0,7,0,0,0,4,1
16,1,2,8,7,6,5,9,3,4,0,0,0,0,0,0,0
17,1,3,2,0,0,6,7,0,0,0,4,5,8,9,3,1
18,1,3,2,0,0,6,8,0,0,0,4,5,7,9,3,1
19,1,3,4,2,0,9,6,8,0,0,5,7,0,0,4,1
20,1,3,4,5,7,2,8,6,9,0,0,0,0,0,5,1
21,1,3,4,8,6,9,2,7,5,0,0,0,0,0,0,0
22,1,3,4,9,0,5,8,7,2,0,6,0,0,0,4,1
23,1,3,5,2,0,4,7,6,0,0,8,9,0,0,4,1
24,1,3,5,4,7,2,8,9,6,0,0,0,0,0,5,1
25,1,3,5,8,9,7,6,4,2,0,0,0,0,0,5,1
26,1,3,5,9,0,8,2,6,0,0,4,7,0,0,4,1
27,1,3,6,0,0,9,7,8,0,0,2,4,5,0,3,1
28,1,3,6,2,0,8,7,4,0,0,5,9,0,0,4,1
29,1,3,6,7,5,2,4,9,8,0,0,0,0,0,5,1
30,1,3,7,5,0,2,8,4,0,0,6,9,0,0,4,1
31,1,3,7,5,0,4,2,8,0,0,6,9,0,0,4,1
32,1,3,8,2,0,9,5,6,0,0,4,7,0,0,4,1
33,1,3,8,4,7,6,5,2,9,0,0,0,0,0,5,1
34,1,3,8,5,2,4,9,7,6,0,0,0,0,0,5,1
35,1,3,8,5,2,9,6,7,4,0,0,0,0,0,5,1
36,1,3,9,4,8,7,5,6,2,0,0,0,0,0,0,0
37,1,3,9,7,0,4,8,6,5,0,2,0,0,0,4,1
38,1,4,2,3,0,5,8,9,0,0,6,7,0,0,4,1
39,1,4,2,9,0,3,8,7,5,0,6,0,0,0,4,1
40,1,4,3,5,8,2,9,7,6,0,0,0,0,0,0,0
41,1,4,3,8,6,9,5,2,7,0,0,0,0,0,0,0
42,1,4,3,8,7,5,6,2,9,0,0,0,0,0,5,1
43,1,4,3,9,5,7,2,8,6,0,0,0,0,0,5,1
44,1,4,5,2,0,6,8,9,7,0,3,0,0,0,4,1
45,1,4,5,3,7,6,8,2,9,0,0,0,0,0,5,1
46,1,4,6,0,0,3,5,7,0,0,2,8,9,0,3,1
47,1,4,6,3,0,5,8,9,2,0,7,0,0,0,4,1
48,1,4,6,5,0,3,8,2,0,0,7,9,0,0,4,1
49,1,4,6,5,0,9,3,8,0,0,2,7,0,0,4,1
50,1,4,6,7,0,9,3,5,0,0,2,8,0,0,4,1
51,1,4,7,0,0,2,5,0,0,0,3,6,8,9,3,1
52,1,4,7,0,0,3,6,0,0,0,2,5,8,9,3,1
53,1,4,7,0,0,5,2,0,0,0,3,6,8,9,3,1
54,1,4,7,0,0,5,3,0,0,0,2,6,8,9,3,1
55,1,4,8,5,9,2,6,7,3,0,0,0,0,0,5,1
56,1,4,8,6,3,9,7,5,2,0,0,0,0,0,0,0
57,1,4,9,6,0,3,7,2,5,0,8,0,0,0,4,1
58,1,4,9,6,0,7,3,8,5,0,2,0,0,0,4,1
59,1,4,9,6,0,8,7,2,5,0,3,0,0,0,4,1
60,1,4,9,8,3,7,5,2,6,0,0,0,0,0,0,0
61,1,4,9,8,7,3,6,2,5,0,0,0,0,0,5,1
62,1,5,2,7,0,6,8,9,3,0,4,0,0,0,4,1
63,1,5,3,4,8,7,2,9,6,0,0,0,0,0,0,0
64,1,5,3,4,8,9,7,2,6,0,0,0,0,0,0,0
65,1,5,3,6,0,2,9,7,8,0,4,0,0,0,4,1
66,1,5,3,8,2,4,7,6,9,0,0,0,0,0,5,1
67,1,5,3,9,0,7,8,6,0,0,2,4,0,0,4,1
68,1,5,4,0,0,9,8,7,0,0,2,3,6,0,3,1
69,1,5,4,2,9,6,8,7,3,0,0,0,0,0,5,1
70,1,5,4,3,7,9,8,2,6,0,0,0,0,0,5,1
71,1,5,4,9,0,2,3,6,0,0,7,8,0,0,4,1
72,1,5,4,9,0,3,2,7,0,0,6,8,0,0,4,1
73,1,5,6,2,0,8,7,3,9,0,4,0,0,0,4,1
74,1,5,6,3,7,2,9,8,4,0,0,0,0,0,5,1
75,1,5,6,7,4,8,2,9,3,0,0,0,0,0,5,1
76,1,5,6,8,2,9,7,4,3,0,0,0,0,0,5,1
77,1,5,6,8,3,2,7,4,9,0,0,0,0,0,0,0
78,1,5,6,9,0,3,2,8,0,0,4,7,0,0,4,1
79,1,5,7,3,0,9,6,4,0,0,2,8,0,0,4,1
80,1,5,7,6,8,2,4,9,3,0,0,0,0,0,0,0
81,1,5,8,4,3,7,2,9,6,0,0,0,0,0,0,0
